Codigo;CodBarras;Descripcion;exisMerida;exisCaracas;Marca;Precio;Oferta;Grupo;Vence;Principio;Escala;DescXEscala;Bonifica;CantBonifica
25250;75971199;(PENASTIM) IMIPENEM+CILASTATINA 500MG AMP;1210;1274;ALESS;54.91;51.07;INYECTABLES;2024-02-25;IMIPENEM -CILASTATINA;1.00;7.00;0.000;0.000
19672;7596347794793;9-VIT INFUSION MULTIVITAMINICA I.V X 10ML DPT;280;130;KILITCH DRUGS;34.97;34.97;INYECTABLES;2023-03-25;MULTIVITAMINICO ;0.00;0.00;0.000;0.000
68952;7591619520896;ABRETIA 18MG X 10 CAP MEGALABS;130;231;MEGALABS;64.88;64.88;MEDICAMENTOS;2022-11-25;ATOMOXETINE ;0.00;0.00;0.000;0.000
68598;7591619520902;ABRETIA 25MG X 20 CAP ROEMMRS;75;133;ROEMMERS;103.83;103.83;MEDICAMENTOS;2024-10-25;ATOMOXETINE ;0.00;0.00;0.000;0.000
1013;7594001450122;ACEITE  DE PALO X 30 ML RECETTEMARK;1;0;RECETTEMARK;8.57;8.57;PATENTADOS NATURALES;NULL;ACEITE DE COCO;0.00;0.00;0.000;0.000
1001;7594001450016;ACEITE ALCANFORADO X30 ML RECETTEMARK;0;28;RECETTEMARK;6.69;6.69;PATENTADOS NATURALES;NULL;ACEITE DE COCO;0.00;0.00;0.000;0.000
30101;7592368002909;ACEITE ALMENDRA X 30 cm³  FSI;3;0;FSI;10.49;9.65;PATENTADOS NATURALES;NULL;ACEITE DE ALMENDRAS;1.00;8.00;0.000;0.000
09279;7591616000056;ACEITE COCO 30ML BIOFARCO;334;253;BIOFARCO;7.00;5.60;PATENTADOS NATURALES;2024-09-25;ACEITE DE COCO;1.00;20.00;0.000;0.000
0230;112244301154;ACEITE COCO 30ML FARMAGENIK;0;41;FARMAGENIK;11.50;8.63;PATENTADOS NATURALES;2023-10-25;ACEITE DE COCO;1.00;25.00;0.000;0.000
611309;7591248611309;ACEITE CREMOSO SUAVIDAD-HIDRAT 200ML MIMADITO;4;0;MIMADITO;21.13;21.13;MISCELANEOS;2023-10-25;;0.00;0.00;0.000;0.000
14743;7597134000097;ACEITE DE ALMENDRA X 120 ML LA ABEJITA;2;41;LA ABEJITA;17.17;17.17;PATENTADOS NATURALES;NULL;ACEITE DE ALMENDRAS;0.00;0.00;0.000;0.000
1003;7594001450030;ACEITE DE ALMENDRA X 30 ML RECETTEMARK;81;21;RECETTEMARK;20.73;20.73;PATENTADOS NATURALES;2023-05-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
1003-1;7594001455363;ACEITE DE ALMENDRA X 70ML AEROSOL RECETTEMARK;35;70;RECETTEMARK;27.15;27.15;PATENTADOS NATURALES;2022-07-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
0253;112244301147;ACEITE DE ALMENDRAS 30ML FARMAGENIK;0;27;FARMAGENIK;14.76;11.07;PATENTADOS NATURALES;NULL;ACEITE DE ALMENDRAS;1.00;25.00;0.000;0.000
180824;7591012047077;ACEITE DE ALMENDRAS 30ML LYA;61;0;LYA;5.93;5.34;PATENTADOS NATURALES;2025-02-25;ACEITE DE ALMENDRAS;1.00;10.00;0.000;0.000
09287;7591616000032;ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO;29;194;BIOFARCO;6.34;5.26;PATENTADOS NATURALES;2024-04-25;ACEITE DE ALMENDRAS;1.00;17.00;0.000;0.000
30102;7592368000073;ACEITE DE COCO 30 cm3  FSI;56;0;FSI;7.78;6.61;PATENTADOS NATURALES;2023-02-25;ACEITE DE COCO;1.00;15.00;0.000;0.000
259456;7591012039001;ACEITE DE COCO PRENSADO EN FRIO 30 CC LYA;166;201;LYA;6.97;6.27;PATENTADOS NATURALES;2023-07-25;ACEITE DE COCO;1.00;10.00;0.000;0.000
13746;7597134000110;ACEITE DE COCO X 120 ML LA ABEJITA;4;30;LA ABEJITA;16.02;16.02;PATENTADOS NATURALES;2023-08-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
1005;7594001450054;ACEITE DE COCO x 30 ML RECETTEMARK;0;14;RECETTEMARK;3.77;3.77;PATENTADOS NATURALES;NULL;ACEITE DE COCO;0.00;0.00;0.000;0.000
1005-1;7594001455356;ACEITE DE COCO x 70ML AEROSOL RECETTEMARK;37;71;RECETTEMARK;17.73;17.73;PATENTADOS NATURALES;2024-06-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
